"fc";"rm";"tune.args";"auc.train";"cbi.train";"auc.diff.avg";"auc.diff.sd";"auc.val.avg";"auc.val.sd";"cbi.val.avg";"cbi.val.sd";"or.10p.avg";"or.10p.sd";"or.mtp.avg";"or.mtp.sd";"AICc";"delta.AICc";"w.AIC";"ncoef"
"L";1;"fc.L_rm.1";0.58500941536575;0.749;0.0139511527504966;0.00468711983975903;0.5786767935482;0.0162695813176305;0.669;0.35638181771802;0.0972229515657547;0.00014233975710489;0.00241558577955154;2.47547403660681e-05;38408.5837366007;2.83552686640905;0.186056888437828;6
"Q";1;"fc.Q_rm.1";0.586489592135833;0.818;0.0128951071529939;0.00444655787717483;0.579705073837756;0.0130601036635506;0.758;0.110308657865101;0.0972404558105341;0.00355849392762227;0.0018160653958585;0.000872604597903895;38405.7482097343;0;0.76802010559939;5
"P";1;"fc.P_rm.1";0.587973607590111;0.867;0.0144655259547011;0.00569189326317415;0.580299934453638;0.0174827877772515;0.836;0.148492424049175;0.101393337884437;0.010916840501436;0.00121654501216545;0.00172045445544172;38567.0771717663;161.32896203205;7.13236562955745e-36;8
"LQ";1;"fc.LQ_rm.1";0.58519794108864;0.76;0.0135775641530236;0.00519966342251826;0.578769028747851;0.0162875204005355;0.677;0.367695526217005;0.0984394965779201;0.00186279421254661;0.0018160653958585;0.000872604597903895;38411.4109131293;5.66270339500625;0.0452618364283701;6
"H";1;"fc.H_rm.1";0.600081082275974;0.945;0.0165067965953618;0.0127666560079969;0.586907153518695;0.0113071655172212;0.551;0.138592929112563;0.112976771867178;0.0105517080810365;0.00789003833429607;0.00776679978985381;38599.4905462748;193.742336540483;6.5276784636374e-43;116
"L";1.5;"fc.L_rm.1.5";0.58424098359267;0.705;0.0141540771114553;0.00412875529744402;0.57847125861415;0.0160382298342414;0.665;0.329511760032931;0.0960239107983686;0.00183803947218055;0.00241558577955154;2.47547403660681e-05;38421.3745878773;15.626378143068;0.000310561552803359;6
"Q";1.5;"fc.Q_rm.1.5";0.585198867667584;0.824;0.0132880198761312;0.00404806483436152;0.579483076449523;0.012905085441911;0.756;0.05939696961967;0.0960501671655376;0.00696227072795661;0.000608272506082725;0.000860227227720861;38421.9226553885;16.1744456541855;0.000236121939376692;5
"P";1.5;"fc.P_rm.1.5";0.586714287529624;0.827;0.0151663809433598;0.00604410780266985;0.578470168348576;0.0181216417892531;0.7775;0.222738636073763;0.103791419419209;0.0143082399315873;0.00121654501216545;0.00172045445544172;38502.2789657425;96.5307560082583;8.39431486331064e-22;7
"LQ";1.5;"fc.LQ_rm.1.5";0.584411672670898;0.699;0.0138271458628317;0.00461452585842105;0.578596432138402;0.0161036712067792;0.669;0.342239682094289;0.0972404558105341;0.00355849392762227;0.00241558577955154;2.47547403660681e-05;38423.3933791254;17.6451693910785;0.000113180794945087;6
"H";1.5;"fc.H_rm.1.5";0.592841555530141;0.881;0.0103518457918125;0.00704902785306486;0.581174911390136;0.00964799400434215;0.654;0.132936074863071;0.10445220465963;0.00319955019231428;0.00607397293843757;0.00689419519194992;38642.7123144724;236.964104738152;2.68702087798993e-52;85
"L";2;"fc.L_rm.2";0.583247161491591;0.655;0.0142813225314145;0.00353762133702886;0.578199762839785;0.0155515939260806;0.6365;0.311834090503267;0.0990390169616132;0.00101494435500879;0.00241558577955154;2.47547403660681e-05;38436.4666634703;30.7184537360008;1.6403824501283e-07;6
"Q";2;"fc.Q_rm.2";0.583966881685929;0.822;0.0138430604004677;0.00329147049083376;0.579261422847936;0.0128245996440585;0.7395;0.0106066017177982;0.0954243904146756;0.00268588932971837;0;0;38436.0568977417;30.3086880074407;2.01337472174762e-07;4
"P";2;"fc.P_rm.2";0.584720024906442;0.778;0.0154706006870131;0.00547967795038136;0.577594615397109;0.0178306829283631;0.726;0.264457936163769;0.100811321745523;0.00665283647338076;0.000599520383693046;0.000847849857537827;38450.3688056932;44.6205959589206;1.57084483087459e-10;6
"LQ";2;"fc.LQ_rm.2";0.583437540372368;0.663;0.0139627426740109;0.00400256323570915;0.578293988983748;0.0156934408165666;0.659;0.311126983722081;0.0984394965779201;0.00186279421254661;0.00241558577955154;2.47547403660681e-05;38437.9954058229;32.2471960886105;7.63805762001018e-08;6
"H";2;"fc.H_rm.2";0.587119500356865;0.839;0.00689596306563739;0.00840751894322362;0.579363358074145;0.00963524536788749;0.769;0.107480230740355;0.101410842129216;0.00750068633091859;0.00121654501216545;0.00172045445544172;38645.6771407478;239.928931013521;6.10192963591409e-53;50
"L";2.5;"fc.L_rm.2.5";0.582025070049368;0.703;0.0143016890351253;0.00325106561613239;0.57782326216545;0.0150402099703738;0.604;0.299813275223096;0.0984394965779201;0.00186279421254661;0.00120779288977577;1.2377370183034e-05;38453.7580033472;48.0097936129532;2.8852162373721e-11;6
"Q";2.5;"fc.Q_rm.2.5";0.58360895747691;0.818;0.0141147829600058;0.00300589695759012;0.578644260182007;0.0126329433843293;0.6925;0.0799030662740799;0.0978137198270581;0.00241358718569163;0;0;38445.8172003586;40.0689906243279;1.52933218200913e-09;4
"P";2.5;"fc.P_rm.2.5";0.582994039979499;0.716;0.015939751631639;0.00557116042049774;0.576887461783895;0.0180918572820906;0.729;0.212132034355964;0.102027866757689;0.00493238201793903;0.00301510616324459;0.000823095117171759;38433.164045298;27.4158355637483;8.5526271270436e-07;4
"LQ";2.5;"fc.LQ_rm.2.5";0.582305955837659;0.71;0.0141221406799202;0.00351134273471142;0.577901881354536;0.0151992584353775;0.6065;0.310419876940894;0.0966059269372823;0.00242596455587466;0.0018160653958585;0.000872604597903895;38453.6957389294;47.9475291951749;2.97645221185611e-11;6
"H";2.5;"fc.H_rm.2.5";0.585065076286568;0.861;0.00773352391756738;0.00694923532785993;0.57910710919019;0.0100159762003333;0.6855;0.0346482322781408;0.104487213149189;0.00363275814872046;0.000608272506082725;0.000860227227720861;38665.6549699298;259.906760195554;2.80115220933938e-57;35
"L";3;"fc.L_rm.3";0.581554235577666;0.731;0.0143825394965901;0.00304970347841387;0.57743844946949;0.0145573669207931;0.569;0.268700576850888;0.100820073867913;0.00494475938812207;0.00120779288977577;1.2377370183034e-05;38464.2684081342;58.5201983999505;1.5061664411097e-13;5
"Q";3;"fc.Q_rm.3";0.583219165570656;0.819;0.014157148878329;0.00286354010830177;0.578097181838142;0.0124385366119004;0.735;0.0268700576850888;0.0959889023088099;0.00499426886885421;0;0;38456.0713904912;50.3231807569682;9.07470951646074e-12;4
"P";3;"fc.P_rm.3";0.581939560049728;0.658;0.015409975240413;0.00479085020308132;0.576547340211671;0.0174191916280412;0.699;0.203646752981726;0.102036618880078;0.00322430493268035;0.00301510616324459;0.000823095117171759;38442.9397106092;37.1915008749202;6.44674938513825e-09;4
"LQ";3;"fc.LQ_rm.3";0.581740213208462;0.743;0.0143162996980292;0.00309215869280629;0.577630252314674;0.0146127170998128;0.584;0.257386868351903;0.10022930560661;0.00238883244532556;0.0018160653958585;0.000872604597903895;38464.5534171649;58.8052074306615;1.30612289480043e-13;5
"H";3;"fc.H_rm.3";0.585307078851339;0.853;0.0085918273887563;0.00492077690566392;0.578570413538018;0.00988687830562631;0.6945;0.0883883476483184;0.0996472894676959;0.00187517158272965;0.00121654501216545;0.00172045445544172;38637.0364482573;231.288238523077;4.58954602589213e-51;27
"L";3.5;"fc.L_rm.3.5";0.581456713143866;0.771;0.0144608180014726;0.00294082620668049;0.576918116574536;0.0139594724490379;0.5915;0.224152849636136;0.102010362512909;0.00834853618845641;0.000599520383693046;0.000847849857537827;38474.6934939975;68.945284263209;8.20529755764371e-16;5
"Q";3.5;"fc.Q_rm.3.5";0.582823781098637;0.818;0.0139815817314667;0.00286796698797855;0.577743946857735;0.0124656970164051;0.7295;0.036062445840514;0.10021180136183;0.00580498661584294;0;0;38465.9038113673;60.1556016330069;6.64889794516002e-14;4
"P";3.5;"fc.P_rm.3.5";0.580488438147943;0.574;0.0152134143063412;0.0044932017502847;0.576010896744726;0.0169186850897504;0.6875;0.204353859762912;0.102045371002468;0.00151622784742166;0.0018160653958585;0.000872604597903895;38453.890032597;48.141822862679;2.70090046937151e-11;4
"LQ";3.5;"fc.LQ_rm.3.5";0.581654537748297;0.776;0.0145070552743692;0.00290851755232333;0.577150177488524;0.0141184952646162;0.579;0.243244732728172;0.102010362512909;0.00834853618845641;0.00120779288977577;1.2377370183034e-05;38474.386253252;68.6380435177416;9.56777194766194e-16;5
"H";3.5;"fc.H_rm.3.5";0.584448636552321;0.876;0.00881563640279615;0.00229433159981195;0.577890756163176;0.00895259563951995;0.735;0.0919238815542512;0.100246809851389;0.00102732172519182;0.00121654501216545;0.00172045445544172;38642.9334692263;237.185259491991;2.40573560747343e-52;20
"L";4;"fc.L_rm.4";0.580976215777469;0.784;0.0145346498461533;0.00266244147930586;0.576415562919495;0.0133024480027765;0.5605;0.127986327394765;0.102027866757689;0.00493238201793903;0.000599520383693046;0.000847849857537827;38481.6333489898;75.8851392555298;2.55343008361725e-17;4
"Q";4;"fc.Q_rm.4";0.582380644718924;0.817;0.013888498989889;0.00286090018593224;0.57737354316545;0.0124870887547379;0.737;0.0325269119345812;0.101445850618775;0.000668377989883836;0.00120779288977577;1.2377370183034e-05;38476.2579859721;70.5097762378136;3.752919243191e-16;4
"P";4;"fc.P_rm.4";0.578683429273965;0.525;0.0151118831587955;0.00440545109758645;0.575300140898078;0.0164067911015958;0.6665;0.163341666454092;0.0996297852229166;0.00154098258778772;0.0018160653958585;0.000872604597903895;38465.9973268189;60.2491170846188;6.34516682131405e-14;4
"LQ";4;"fc.LQ_rm.4";0.581230826434291;0.767;0.0145526637014506;0.00265842263756481;0.576605323063959;0.0133804778184078;0.543;0.114551298552221;0.101419594251606;0.00579260924565989;0.000599520383693046;0.000847849857537827;38481.6648864118;75.9166766775306;2.51348157855489e-17;4
"H";4;"fc.H_rm.4";0.583106586229025;0.861;0.00879178074604209;0.00072208764182905;0.577100292118155;0.00769837968215277;0.7095;0.123743686707646;0.100246809851389;0.00102732172519182;0.00121654501216545;0.00172045445544172;38659.9487292898;254.200519555554;4.85770479947486e-56;21
"L";4.5;"fc.L_rm.4.5";0.580458754529647;0.765;0.014385197215441;0.00276700465972145;0.57606759341624;0.0130035400328366;0.59;0.114551298552221;0.109265871973954;0.00656619488209952;0.000599520383693046;0.000847849857537827;38491.4918936487;85.7436839143847;1.84658030117982e-19;4
"Q";4.5;"fc.Q_rm.4.5";0.581987940707419;0.826;0.0138368965082213;0.00291673094899174;0.576932790830344;0.0125407211513262;0.743;0.0381837661840736;0.100863834479861;0.00359562603817137;0.000599520383693046;0.000847849857537827;38487.1890480207;81.4408382864203;1.58752018024838e-18;4
"P";4.5;"fc.P_rm.4.5";0.576788442966154;0.523;0.015025864584827;0.00430919306868733;0.574465225743283;0.015844185653945;0.618;0.176776695296637;0.0990215127168338;0.00240120981550858;0.0018160653958585;0.000872604597903895;38479.2545218484;73.5063121140993;8.38841138946732e-17;4
"LQ";4.5;"fc.LQ_rm.4.5";0.580713828475942;0.788;0.0144040282621076;0.00266882069269751;0.576332757139374;0.0131194786139718;0.582;0.0933380951166243;0.104434700414851;0.00661570436283165;0.000599520383693046;0.000847849857537827;38491.1515782726;85.4033685383547;2.18910575786751e-19;4
"H";4.5;"fc.H_rm.4.5";0.581625582156313;0.861;0.00864302695756869;0.000186991701676162;0.576707709292811;0.00745624384850299;0.6805;0.152027957955108;0.100246809851389;0.00102732172519182;0.00121654501216545;0.00172045445544172;38683.7798298874;278.03162015316;3.2476810839685e-61;23
"L";5;"fc.L_rm.5";0.579914621045096;0.762;0.014229679439697;0.00291167843002422;0.575521592298831;0.0126954963823267;0.606;0.104651803615609;0.111073185247422;0.00740166736945431;0.000599520383693046;0.000847849857537827;38502.1455690922;96.3973593579649;8.97329549974793e-22;4
"Q";5;"fc.Q_rm.5";0.58145221261757;0.808;0.0136557209827099;0.00287609501841601;0.576458847362162;0.0123026729779366;0.7495;0.0403050865276332;0.101480859108334;0.00616393035115091;0.000599520383693046;0.000847849857537827;38498.1170781496;92.3688684153021;6.72554779188308e-21;4
"P";5;"fc.P_rm.5";0.575620821128965;0.547;0.0150288759410993;0.00416616747521836;0.573485888423608;0.0151934171926184;0.5565;0.140714249456123;0.0971966951985856;0.00498189149867117;0.0018160653958585;0.000872604597903895;38489.0212206738;83.2730109394979;6.35137884404002e-19;3
"LQ";5;"fc.LQ_rm.5";0.580196433412331;0.752;0.0142947577723015;0.0028079853019986;0.57584839729035;0.0129113931070518;0.593;0.107480230740355;0.10867510371265;0.00401026793930301;0.000599520383693046;0.000847849857537827;38500.8918421277;95.1436323934322;1.67955921866447e-21;4
"H";5;"fc.H_rm.5";0.580987963474788;0.858;0.00864215132319723;0.00016481530613893;0.57676896014401;0.00737687524470251;0.7095;0.137885822331377;0.100246809851389;0.00102732172519182;0.00121654501216545;0.00172045445544172;38687.3210344272;281.572824692921;5.52854158088217e-62;21
